Country,Very + Fairly Lonely,Very Lonely,Fairly Lonely,A Little Lonely,Not At All Lonely
Peru,24%,7%,18%,35%,40%
Côte d'Ivoire,24%,10%,14%,33%,42%
Bulgaria,24%,5%,19%,20%,54%
Colombia,24%,7%,17%,31%,44%
Tunisia,24%,6%,18%,30%,45%
Kosovo,24%,3%,21%,25%,51%
Serbia,24%,8%,16%,23%,52%
Paraguay,23%,7%,17%,29%,47%
Palestinian Territories,23%,6%,17%,20%,56%
Ecuador,23%,7%,16%,29%,47%
Lebanon,23%,3%,20%,28%,49%
Saudi Arabia,22%,8%,14%,18%,60%
Cameroon,22%,9%,13%,39%,38%
Costa Rica,22%,7%,15%,26%,51%
Gabon,22%,12%,10%,39%,38%
Morocco,22%,14%,8%,37%,40%
Egypt,22%,6%,16%,19%,59%
Jamaica,22%,9%,13%,21%,56%
Myanmar,21%,4%,17%,37%,42%
Venezuela,21%,6%,16%,29%,50%
Cyprus,21%,6%,15%,24%,55%
El Salvador,21%,8%,14%,24%,54%
Democratic Republic of the Congo,21%,7%,13%,35%,44%
Honduras,21%,9%,12%,29%,49%
Mali,20%,5%,15%,24%,56%
North Macedonia,20%,4%,16%,33%,46%
France,20%,5%,15%,23%,57%
Romania,19%,9%,11%,28%,52%
Puerto Rico,19%,7%,12%,18%,62%
Panama,19%,5%,14%,27%,53%
Yemen,19%,4%,15%,27%,53%
Laos,19%,11%,8%,43%,37%
Nicaragua,19%,6%,13%,33%,46%
Moldova,18%,6%,12%,38%,43%
Azerbaijan,18%,11%,8%,29%,51%
Mexico,18%,5%,14%,25%,56%
Croatia,18%,4%,14%,26%,55%
Hungary,18%,5%,13%,18%,64%
Japan,17%,2%,16%,39%,43%
Portugal,17%,8%,10%,29%,53%
Northern Cyprus,17%,10%,7%,36%,47%
Italy,17%,3%,14%,27%,56%
Taiwan (Province of China),17%,2%,15%,30%,53%
Dominican Republic,17%,6%,11%,34%,46%
Türkiye,16%,5%,10%,45%,38%
South Korea,16%,3%,13%,41%,43%
United States,15%,5%,10%,26%,59%
Brazil,15%,9%,5%,38%,47%
Canada,15%,5%,10%,27%,59%
Bosnia and Herzegovina,14%,3%,12%,25%,60%
Mauritius,14%,7%,8%,26%,58%
Malaysia,14%,1%,13%,30%,55%
Austria,14%,5%,9%,22%,64%
Singapore,14%,3%,11%,33%,53%
United Kingdom,13%,4%,10%,23%,63%
Switzerland,13%,3%,11%,19%,68%
Israel,13%,2%,11%,24%,63%
Lithuania,13%,3%,10%,30%,51%
Belgium,13%,3%,9%,21%,66%
Ireland,13%,6%,6%,26%,61%
New Zealand,12%,3%,9%,25%,64%
Spain,12%,3%,9%,25%,63%
Armenia,12%,4%,8%,29%,59%
Luxembourg,11%,3%,8%,29%,60%
Poland,11%,3%,8%,19%,68%
Czech Republic,11%,2%,9%,30%,59%
Malta,11%,4%,7%,30%,59%
Greece,11%,2%,9%,26%,63%
Australia,10%,3%,8%,30%,60%
Estonia,10%,2%,9%,28%,62%
Kazakhstan,10%,4%,7%,18%,71%
Thailand,10%,3%,7%,28%,61%
Georgia,9%,3%,6%,21%,69%
Iceland,9%,2%,7%,21%,70%
Indonesia,9%,1%,7%,19%,71%
Slovakia,9%,2%,7%,26%,65%
Hong Kong (S.A.R. of China),9%,3%,6%,33%,58%
Mongolia,8%,2%,7%,38%,53%
Netherlands,8%,1%,7%,19%,73%
Russia,8%,2%,6%,29%,62%
Norway,8%,2%,6%,24%,68%
Sweden,8%,2%,6%,23%,69%
Kyrgyzstan,8%,1%,7%,22%,70%
Uzbekistan,8%,2%,6%,19%,73%
Finland,7%,2%,6%,29%,64%
Denmark,7%,2%,5%,23%,69%
Latvia,7%,2%,5%,19%,74%
Ukraine,6%,2%,4%,32%,61%
Slovenia,6%,<1%,6%,22%,72%
Germany,6%,2%,4%,20%,73%
Vietnam,5%,2%,3%,9%,86%
